KodePropinsi,NamaPropinsi,jumlah
11,Aceh,51
12,Sumatera Utara,114
13,Sumatera Barat,42
14,Riau,84
15,Jambi,28
16,Sumatera Selatan,89
17,Bengkulu,12
18,Lampung,52
19,Kepulauan Bangka Belitung,20
21,Kepulauan Riau,196
31,DKI Jakarta,690
32,Jawa Barat,678
33,Jawa Tengah,357
34,Daerah Istimewa Yogyakarta,90
35,Jawa Timur,448
36,Banten,249
51,Bali,85
52,Nusa Tenggara Barat,42
53,Nusa Tenggara Timur,23
61,Kalimantan Barat,19
62,Kalimantan Tengah,18
63,Kalimantan Selatan,40
64,Kalimantan Timur,103
65,Kalimantan Utara,8
71,Sulawesi Utara,23
72,Sulawesi Tengah,19
73,Sulawesi Selatan,93
74,Sulawesi Tenggara,26
75,Gorontalo,8
76,Sulawesi Barat,9
81,Maluku,7
82,Maluku Utara,15
91,Papua,19
92,Papua Barat,6
